################################################################
# abuse.ch URLhaus Database Dump (CSV - online URLs only)      #
# Last updated: 2022-01-31 13:41:17 (UTC)                      #
#                                                              #
# Terms Of Use: https://urlhaus.abuse.ch/api/                  #
# For questions please contact urlhaus [at] abuse.ch           #
################################################################
#
# id,dateadded,url,url_status,threat,tags,urlhaus_link,reporter
"2018448","2022-01-31 13:41:17","https://imagingworld.edu/.win32.exe","online","malware_download","None","https://urlhaus.abuse.ch/url/2018448/","JAMESWT_MHT"
"2018447","2022-01-31 13:41:06","http://125.40.106.10:50865/bin.sh","online","malware_download","32-bit,arm,elf,Mozi","https://urlhaus.abuse.ch/url/2018447/","geenensp"
"2018446","2022-01-31 13:41:05","http://pinkstravels.com/locals.php","online","malware_download","None","https://urlhaus.abuse.ch/url/2018446/","JAMESWT_MHT"
"2018444","2022-01-31 13:39:07","https://pinkstravels.com/locals.php","online","malware_download","None","https://urlhaus.abuse.ch/url/2018444/","JAMESWT_MHT"
"2018445","2022-01-31 13:39:07","https://imagingworld.in/factur.docx","online","malware_download","None","https://urlhaus.abuse.ch/url/2018445/","JAMESWT_MHT"
"2018443","2022-01-31 13:38:09","http://125.105.27.137:44265/i","online","malware_download","32-bit,arm,elf,Mozi","https://urlhaus.abuse.ch/url/2018443/","geenensp"
"2018442","2022-01-31 13:38:05","http://182.117.145.234:51478/mozi.m","online","malware_download","None","https://urlhaus.abuse.ch/url/2018442/","tammeto"
"2018440","2022-01-31 13:37:05","http://42.224.168.190:48442/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018440/","lrz_urlhaus"
"2018441","2022-01-31 13:37:05","http://59.89.218.200:46602/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018441/","lrz_urlhaus"
"2018439","2022-01-31 13:37:04","http://27.45.59.149:46838/Mozi.m","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2018439/","lrz_urlhaus"
"2018438","2022-01-31 13:36:06","http://221.14.60.28:46853/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018438/","lrz_urlhaus"
"2018437","2022-01-31 13:36:04","http://27.215.182.84:36295/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2018437/","geenensp"
"2018433","2022-01-31 13:35:06","http://182.118.146.192:49626/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018433/","lrz_urlhaus"
"2018434","2022-01-31 13:35:06","http://119.164.94.94:39523/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018434/","lrz_urlhaus"
"2018435","2022-01-31 13:35:06","http://123.8.141.255:50239/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018435/","lrz_urlhaus"
"2018436","2022-01-31 13:35:06","http://182.116.102.103:49447/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018436/","lrz_urlhaus"
"2018432","2022-01-31 13:35:05","http://171.38.150.232:37133/Mozi.a","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018432/","lrz_urlhaus"
"2018431","2022-01-31 13:32:04","http://83.243.137.175:43001/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2018431/","geenensp"
"2018430","2022-01-31 13:27:05","http://123.12.102.22:58667/mozi.m","online","malware_download","None","https://urlhaus.abuse.ch/url/2018430/","tammeto"
"2018429","2022-01-31 13:26:03","http://81.4.105.174/win11.jpg","online","malware_download","exe","https://urlhaus.abuse.ch/url/2018429/","vxvault"
"2018427","2022-01-31 13:23:06","http://118.233.43.195:38504/bin.sh","online","malware_download","32-bit,arm,elf,Mozi","https://urlhaus.abuse.ch/url/2018427/","geenensp"
"2018428","2022-01-31 13:23:06","http://103.148.43.219:53852/bin.sh","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2018428/","geenensp"
"2018426","2022-01-31 13:23:04","http://182.120.56.252:35550/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2018426/","geenensp"
"2018425","2022-01-31 13:22:22","http://95.9.33.229:60890/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2018425/","geenensp"
"2018423","2022-01-31 13:22:05","http://61.54.43.104:45108/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018423/","lrz_urlhaus"
"2018424","2022-01-31 13:22:05","http://115.58.81.85:43682/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2018424/","geenensp"
"2018422","2022-01-31 13:22:04","http://27.40.77.204:42763/Mozi.m","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2018422/","lrz_urlhaus"
"2018421","2022-01-31 13:21:07","http://220.130.207.242:42106/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018421/","lrz_urlhaus"
"2018418","2022-01-31 13:21:04","http://61.52.243.57:42579/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2018418/","geenensp"
"2018419","2022-01-31 13:21:04","http://221.13.238.149:59985/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018419/","lrz_urlhaus"
"2018420","2022-01-31 13:21:04","http://182.122.207.190:51186/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018420/","lrz_urlhaus"
"2018417","2022-01-31 13:20:07","http://117.194.161.127:57177/Mozi.m","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2018417/","lrz_urlhaus"
"2018416","2022-01-31 13:20:06","http://125.44.65.150:40680/Mozi.m","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2018416/","lrz_urlhaus"
"2018415","2022-01-31 13:20:05","http://115.56.177.7:39744/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2018415/","lrz_urlhaus"
"2018414","2022-01-31 13:19:06","http://115.61.165.168:35517/i","online","malware_download","32-bit,elf,mips,mirai,Mozi","https://urlhaus.abuse.ch/url/2018414/","geenensp"
"2018413","2022-01-31 13:19:05","http://113.116.89.195:42955/Mozi.a","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2018413/","lrz_urlhaus"
